Trade number,Type,Date and time,Signal,Price USD,Size (qty),Size (value),Net PnL USD,Return %,Commission USD,Favorable excursion USD,Favorable excursion %,Adverse excursion USD,Adverse excursion %,Cumulative PnL USD,Cumulative PnL %,Duration (bars)
116,Entry short,2026-08-18 15:55,M4 Short,29613.5,1,59227,-97.24,-0.16,1.24,10.38,0.02,-96.62,-0.16,4347.16,0.43,1
117,Exit long,2026-08-19 18:07,M3 TP,29646.25,1,58971.5,319.76,0.54,1.24,320.38,0.54,-220.62,-0.37,4666.92,0.47,134
117,Entry long,2026-08-19 15:53,M3 Long,29485.75,1,58971.5,319.76,0.54,1.24,320.38,0.54,-220.62,-0.37,4666.92,0.47,134
118,Exit short,2026-08-20 16:20,RCL TP,29307,1,58756.5,141.26,0.24,1.24,141.88,0.24,-61.62,-0.10,4808.18,0.48,30
118,Entry short,2026-08-20 15:50,Reclaim Short C1,29378.25,1,58756.5,141.26,0.24,1.24,141.88,0.24,-61.62,-0.10,4808.18,0.48,30
119,Exit long,2026-08-21 15:30,M3 Break-even Exit,29448,1,58897,-2.24,0.00,1.24,72.88,0.12,-63.12,-0.11,4805.94,0.48,7
119,Entry long,2026-08-21 15:23,M3 Long,29448.5,1,58897,-2.24,0.00,1.24,72.88,0.12,-63.12,-0.11,4805.94,0.48,7
120,Exit short,2026-08-21 15:39,M4 Locked Profit,29351.25,1,58850.5,146.76,0.25,1.24,211.38,0.36,-16.12,-0.03,4952.7,0.50,9
120,Entry short,2026-08-21 15:30,M4 Short,29425.25,1,58850.5,146.76,0.25,1.24,211.38,0.36,-16.12,-0.03,4952.7,0.50,9
121,Exit short,2026-08-24 15:46,M4 Locked Profit,29003.5,1,58225.5,217.26,0.37,1.24,317.88,0.55,-65.62,-0.11,5169.96,0.52,14
